Filename:	TEST
Operator ID:	 
Sample ID:	HMm-1130 
Comment: 	 
Serial Number:	002042001 
Data Collected:	06.12.2019 12:19:21 
Sample Weight:	12.492 mg 
Display Weight:	12.492 
Validation 
Validated:	No 
By:	 
Date:	 
Calibration Information 
Filename:	TEST
Date/Time:	 
Initial Conditions 
Temperature:	 50.00 �C 
Baseline Filename:	 
End Condition:	Go To Load 
Total Points in Run:	1155 
Method Steps: 
Pre-Run Actions 
Start the Run 
	Action occurs Immediately 
Switch the Gas to Nitrogen at 20.0 ml/min  
	Action occurs Immediately 
1)	Hold for 1.0 min at 50.00�C 
 
2)	Heat from 50.00�C to 700.00�C at 40.00�C/min 
 
3)	Hold for 2.0 min at 700.00�C 
 
1) TGA Isothermal 
	Time     	Unsubtracted	Baseline     	Program     	Sample     	Approx.     	R25 Diagnostic 
	          	Weight     	Weight     	Temperature	Temperature	Gas Flow     	Temperature 
	1.033333	12.392053	0.000000	51.333333	48.440000	19.800000	0.000000 
	1.050000	12.391841	0.000000	52.000000	48.460000	19.800000	0.000000 
	1.066667	12.391628	0.000000	52.666667	48.470000	19.800000	0.000000 
	1.083333	12.391628	0.000000	53.333333	48.480000	19.800000	0.000000 
	1.100000	12.391628	0.000000	54.000000	48.490000	19.800000	0.000000 
	1.116667	12.391841	0.000000	54.666667	48.510000	19.800000	0.000000 
	1.133333	12.392053	0.000000	55.333333	48.520000	19.800000	0.000000 
	1.150000	12.392053	0.000000	56.000000	48.530000	19.800000	0.000000 
	1.166667	12.392266	0.000000	56.666667	48.550000	19.800000	0.000000 
	1.183333	12.392691	0.000000	57.333333	48.570000	19.800000	0.000000 
	1.200000	12.393753	0.000000	58.000000	48.590000	19.800000	0.000000 
	1.216667	12.395028	0.000000	58.666667	48.620000	19.800000	0.000000 
	1.233333	12.396515	0.000000	59.333333	48.660000	19.800000	0.000000 
	1.250000	12.397365	0.000000	60.000000	48.700000	19.800000	0.000000 
	1.266667	12.398215	0.000000	60.666667	48.760000	19.800000	0.000000 
	1.283333	12.398640	0.000000	61.333333	48.820000	19.800000	0.000000 
	1.300000	12.399065	0.000000	62.000000	48.900000	19.800000	0.000000 
	1.316667	12.399065	0.000000	62.666667	48.980000	19.800000	0.000000 
	1.333333	12.399065	0.000000	63.333333	49.080000	19.800000	0.000000 
	1.350000	12.399065	0.000000	64.000000	49.180000	19.800000	0.000000 
	1.366667	12.399278	0.000000	64.666667	49.300000	19.800000	0.000000 
	1.383333	12.399490	0.000000	65.333333	49.420000	19.800000	0.000000 
	1.400000	12.399490	0.000000	66.000000	49.540000	19.800000	0.000000 
	1.416667	12.399490	0.000000	66.666667	49.680000	19.800000	0.000000 
	1.433333	12.399490	0.000000	67.333333	49.820000	19.800000	0.000000 
	1.450000	12.399490	0.000000	68.000000	49.970000	19.800000	0.000000 
	1.466667	12.399703	0.000000	68.666667	50.120000	19.800000	0.000000 
	1.483333	12.399703	0.000000	69.333333	50.280000	19.800000	0.000000 
	1.500000	12.399915	0.000000	70.000000	50.440000	19.800000	0.000000 
	1.516667	12.400128	0.000000	70.666667	50.610000	19.800000	0.000000 
	1.533333	12.400128	0.000000	71.333333	50.790000	19.800000	0.000000 
	1.550000	12.400340	0.000000	72.000000	50.960000	19.800000	0.000000 
	1.566667	12.400340	0.000000	72.666667	51.150000	19.800000	0.000000 
	1.583333	12.400340	0.000000	73.333333	51.340000	19.800000	0.000000 
	1.600000	12.400340	0.000000	74.000000	51.530000	19.800000	0.000000 
	1.616667	12.400552	0.000000	74.666667	51.740000	19.800000	0.000000 
	1.633333	12.400552	0.000000	75.333333	51.940000	19.800000	0.000000 
	1.650000	12.400552	0.000000	76.000000	52.150000	19.800000	0.000000 
	1.666667	12.400552	0.000000	76.666667	52.370000	19.800000	0.000000 
	1.683333	12.400552	0.000000	77.333333	52.590000	19.800000	0.000000 
	1.700000	12.400552	0.000000	78.000000	52.820000	19.800000	0.000000 
	1.716667	12.400340	0.000000	78.666667	53.050000	19.800000	0.000000 
	1.733333	12.400128	0.000000	79.333333	53.290000	19.800000	0.000000 
	1.750000	12.399915	0.000000	80.000000	53.540000	19.800000	0.000000 
	1.766667	12.399703	0.000000	80.666667	53.780000	19.800000	0.000000 
	1.783333	12.399703	0.000000	81.333333	54.040000	19.800000	0.000000 
	1.800000	12.399490	0.000000	82.000000	54.290000	19.800000	0.000000 
	1.816667	12.399278	0.000000	82.666667	54.560000	19.800000	0.000000 
	1.833333	12.398853	0.000000	83.333333	54.820000	19.800000	0.000000 
	1.850000	12.398640	0.000000	84.000000	55.090000	19.800000	0.000000 
	1.866667	12.398428	0.000000	84.666667	55.370000	19.800000	0.000000 
	1.883333	12.398215	0.000000	85.333333	55.650000	19.800000	0.000000 
	1.900000	12.397790	0.000000	86.000000	55.930000	19.800000	0.000000 
	1.916667	12.397578	0.000000	86.666667	56.220000	19.800000	0.000000 
	1.933333	12.397365	0.000000	87.333333	56.520000	19.800000	0.000000 
	1.950000	12.397153	0.000000	88.000000	56.810000	19.800000	0.000000 
	1.966667	12.396728	0.000000	88.666667	57.120000	19.800000	0.000000 
	1.983333	12.396515	0.000000	89.333333	57.420000	19.800000	0.000000 
	2.000000	12.395878	0.000000	90.000000	57.730000	19.800000	0.000000 
	2.016667	12.395453	0.000000	90.666667	58.050000	19.800000	0.000000 
	2.033333	12.395028	0.000000	91.333333	58.360000	19.800000	0.000000 
	2.050000	12.394815	0.000000	92.000000	58.690000	19.800000	0.000000 
	2.066667	12.394603	0.000000	92.666667	59.010000	19.800000	0.000000 
	2.083333	12.394178	0.000000	93.333333	59.340000	19.800000	0.000000 
	2.100000	12.393965	0.000000	94.000000	59.680000	19.800000	0.000000 
	2.116667	12.393753	0.000000	94.666667	60.020000	19.800000	0.000000 
	2.133333	12.392903	0.000000	95.333333	60.360000	19.800000	0.000000 
	2.150000	12.392053	0.000000	96.000000	60.700000	19.800000	0.000000 
	2.166667	12.391203	0.000000	96.666667	61.050000	19.800000	0.000000 
	2.183333	12.390566	0.000000	97.333333	61.410000	19.800000	0.000000 
	2.200000	12.389928	0.000000	98.000000	61.760000	19.800000	0.000000 
	2.216667	12.389291	0.000000	98.666667	62.120000	19.800000	0.000000 
	2.233333	12.389078	0.000000	99.333333	62.490000	19.800000	0.000000 
	2.250000	12.388441	0.000000	100.000000	62.850000	19.800000	0.000000 
	2.266667	12.387803	0.000000	100.666667	63.220000	19.800000	0.000000 
	2.283333	12.387378	0.000000	101.333333	63.600000	19.800000	0.000000 
	2.300000	12.386528	0.000000	102.000000	63.980000	19.800000	0.000000 
	2.316667	12.385678	0.000000	102.666667	64.360000	19.800000	0.000000 
	2.333333	12.384829	0.000000	103.333333	64.740000	19.800000	0.000000 
	2.350000	12.383979	0.000000	104.000000	65.130000	19.800000	0.000000 
	2.366667	12.383341	0.000000	104.666667	65.520000	19.800000	0.000000 
	2.383333	12.382704	0.000000	105.333333	65.910000	19.800000	0.000000 
	2.400000	12.381854	0.000000	106.000000	66.310000	19.800000	0.000000 
	2.416667	12.381216	0.000000	106.666667	66.710000	19.800000	0.000000 
	2.433333	12.380154	0.000000	107.333333	67.110000	19.800000	0.000000 
	2.450000	12.379516	0.000000	108.000000	67.520000	19.800000	0.000000 
	2.466667	12.378454	0.000000	108.666667	67.930000	19.800000	0.000000 
	2.483333	12.377604	0.000000	109.333333	68.350000	19.800000	0.000000 
	2.500000	12.376329	0.000000	110.000000	68.760000	19.800000	0.000000 
	2.516667	12.375267	0.000000	110.666667	69.180000	19.800000	0.000000 
	2.533333	12.374629	0.000000	111.333333	69.610000	19.800000	0.000000 
